date,day,source,target,amount_usd,transaction_type,transaction_count
2026-02-22,53,c02,c06,2823,goods,3
2026-02-22,53,c09,c12,19189,services,2
2026-02-22,53,c03,c08,37664,services,5
2026-02-23,54,c01,c07,28113,goods,5
2026-02-23,54,c03,c07,14446,materials,5
2026-02-23,54,c05,c06,25494,components,5
2026-02-23,54,c02,c09,45820,goods,2
2026-02-23,54,c08,c11,43170,components,3
2026-02-23,54,c01,c02,14081,materials,4
2026-02-23,54,c01,c09,24714,materials,3
2026-02-23,54,c06,c12,8789,materials,3
2026-02-23,54,c04,c11,29150,goods,2
2026-02-23,54,c07,c10,3985,materials,3
2026-02-23,54,c02,c03,7141,materials,1
2026-02-23,54,c09,c12,17645,shipping,4
2026-02-24,55,c01,c07,37136,goods,4
2026-02-24,55,c04,c05,20036,goods,1
2026-02-24,55,c05,c06,49792,components,3
2026-02-24,55,c08,c11,18364,goods,3
2026-02-24,55,c01,c02,6703,components,5
2026-02-24,55,c04,c11,48600,materials,4
2026-02-24,55,c01,c09,40908,goods,2
2026-02-24,55,c06,c12,39657,goods,5
2026-02-24,55,c09,c12,47729,shipping,1
2026-02-24,55,c03,c08,2026,shipping,2
2026-02-25,56,c01,c07,43866,components,3
2026-02-25,56,c04,c05,34289,goods,3
2026-02-25,56,c01,c11,14810,components,5
2026-02-25,56,c05,c09,11244,goods,4
2026-02-25,56,c11,c12,33549,materials,4
2026-02-25,56,c01,c02,35942,materials,3
2026-02-25,56,c04,c11,30748,materials,3
2026-02-25,56,c06,c12,33326,materials,1
2026-02-25,56,c02,c03,36317,services,2
2026-02-25,56,c03,c09,47615,services,3
2026-02-25,56,c09,c12,28030,goods,5
2026-02-25,56,c01,c04,22818,shipping,2
2026-02-25,56,c03,c08,28664,goods,4
2026-02-26,57,c01,c07,9307,shipping,1
2026-02-26,57,c05,c06,16316,services,1
2026-02-26,57,c05,c09,14170,goods,2
2026-02-26,57,c09,c11,30635,shipping,1
2026-02-26,57,c03,c06,11561,components,1
2026-02-26,57,c11,c12,3281,components,2
2026-02-26,57,c01,c02,5577,shipping,4
2026-02-26,57,c01,c09,5993,materials,5
2026-02-26,57,c06,c12,36350,shipping,4
2026-02-26,57,c07,c10,17972,services,4
2026-02-26,57,c09,c12,21624,goods,2
2026-02-26,57,c03,c08,47565,materials,2
2026-02-27,58,c01,c07,22496,components,4
2026-02-27,58,c04,c08,27452,shipping,1
2026-02-27,58,c05,c09,39114,services,4
2026-02-27,58,c08,c11,19222,goods,2
2026-02-27,58,c01,c02,27523,goods,2
2026-02-27,58,c01,c09,45050,shipping,4
2026-02-27,58,c02,c07,43719,services,4
2026-02-27,58,c09,c12,47301,goods,4
2026-02-27,58,c01,c04,12312,materials,3
2026-02-27,58,c03,c08,34152,materials,3
2026-02-28,59,c01,c07,42859,components,5
2026-02-28,59,c06,c11,8604,services,4
2026-02-28,59,c05,c06,39121,services,2
2026-02-28,59,c05,c09,17452,materials,1
2026-02-28,59,c08,c11,17458,goods,1
2026-02-28,59,c01,c02,20048,services,2
2026-02-28,59,c04,c11,26071,goods,2
2026-02-28,59,c01,c09,30834,components,3
2026-02-28,59,c02,c03,19596,materials,4
2026-02-28,59,c05,c08,3729,services,5
2026-02-28,59,c06,c07,46945,materials,5
2026-02-28,59,c02,c12,19632,materials,4
2026-02-28,59,c03,c10,12934,shipping,5
2026-02-28,59,c03,c08,40863,materials,2
2026-03-01,60,c01,c07,6672,shipping,3
2026-03-01,60,c05,c06,12427,shipping,3
2026-03-01,60,c06,c09,22398,shipping,2
2026-03-01,60,c05,c09,3345,services,1
2026-03-01,60,c04,c12,27939,components,5
2026-03-01,60,c08,c11,39373,components,5
2026-03-01,60,c01,c02,49834,materials,2
2026-03-01,60,c04,c11,5240,shipping,5
2026-03-01,60,c01,c09,33307,materials,1
2026-03-01,60,c02,c03,6713,shipping,5
2026-03-01,60,c07,c10,17285,goods,1
2026-03-01,60,c05,c08,32949,services,2
2026-03-01,60,c03,c10,35999,materials,4
2026-03-01,60,c09,c12,36928,components,4
2026-03-01,60,c04,c09,6596,goods,4
